"kwhTotal","dollars","chargeTimeHrs","distance","managerVehicle","facilityType","target"
"6.91","0.0","2.901666667","24.8566214","1","1","1.0"
"6.84","0.0","2.910555556","24.8566214","1","1","1.0"
"4.51","0.0","1.681944444","24.8566214","1","1","1.0"
"6.93","0.5","4.260277778","24.8566214","1","1","1.0"
"6.93","0.0","3.617222222","24.8566214","1","1","1.0"
"6.92","0.58","4.618888889","24.8566214","1","1","1.0"
"6.96","0.0","3.319722222","24.8566214","1","1","1.0"
"6.14","0.0","3.069166667","24.8566214","1","1","1.0"
"6.73","0.0","3.272222222","24.8566214","1","1","1.0"
"6.81","0.0","3.139166667","24.8566214","1","1","1.0"
"6.83","0.0","3.595833333","24.8566214","1","1","1.0"
"7.13","0.0","3.493888889","24.8566214","1","1","1.0"
"5.71","0.5","4.517222222","24.8566214","1","1","1.0"
"6.97","0.0","3.234444444","24.8566214","1","1","1.0"
"6.91","0.0","3.895277778","24.8566214","1","1","1.0"
"6.71","0.0","3.236944444","24.8566214","1","1","1.0"
"5.79","0.0","3.220277778","24.8566214","1","1","1.0"
"6.93","0.0","3.965","24.8566214","1","1","1.0"
"6.99","0.0","3.01","24.8566214","1","1","1.0"
"7.03","0.0","2.895","24.8566214","1","1","1.0"
"6.96","0.0","3.689722222","24.8566214","1","1","1.0"
"5.94","0.0","3.354166667","24.8566214","1","1","1.0"
"6.71","0.0","3.279166667","24.8566214","1","1","1.0"
"6.94","0.0","3.099722222","24.8566214","1","1","1.0"
"6.96","0.0","2.601388889","24.8566214","1","1","1.0"
"6.93","0.0","2.737777778","24.8566214","1","1","1.0"
"5.71","0.0","3.648888889","24.8566214","1","1","1.0"
"6.98","0.0","2.873888889","24.8566214","1","1","1.0"
"5.72","0.0","3.420833333","24.8566214","1","1","1.0"
"6.23","0.0","3.838611111","24.8566214","1","1","1.0"
"5.9","0.0","3.48","24.8566214","1","1","1.0"
"5.94","0.0","3.309722222","24.8566214","1","1","1.0"
"6.02","0.0","3.531388889","24.8566214","1","1","1.0"
"6.25","0.0","3.732222222","24.8566214","1","1","1.0"
"6.04","0.0","3.286944444","24.8566214","1","1","1.0"
"6.3","0.0","3.454444444","24.8566214","1","1","1.0"
"5.9","0.0","3.896666667","24.8566214","1","1","1.0"
"5.55","0.0","3.061944444","24.8566214","1","1","1.0"
"6.41","0.0","3.445","24.8566214","1","1","1.0"
"6.63","0.0","3.0725","24.8566214","1","1","1.0"
"6.56","0.0","3.429722222","24.8566214","1","1","1.0"
"6.3","0.0","3.493333333","24.8566214","1","1","1.0"
"5.81","0.0","3.949166667","24.8566214","1","1","1.0"
"5.74","0.0","3.036944444","24.8566214","1","1","1.0"
"5.83","0.0","3.5025","24.8566214","1","1","1.0"
"6.63","0.5","4.174444444","24.8566214","1","1","1.0"
"6.89","0.0","2.351666667","24.8566214","1","1","1.0"
"6.87","0.0","3.669166667","24.8566214","1","1","1.0"
"5.78","0.0","2.051666667","24.8566214","1","1","1.0"
"5.66","0.0","2.265","24.8566214","1","1","1.0"
"6.03","0.0","2.755833333","24.8566214","1","1","1.0"
"6.21","0.0","2.459166667","24.8566214","1","1","1.0"
